State,Facility ID,Unit ID,Latitude,Longitude,Primary Fuel Type,Operating Status,Associated Generators & Nameplate Capacity (MWe)
MI,10328,UNIT1,42.7178,-84.4836,Natural Gas,Operating,GEN1 (12.5)
MI,10328,UNIT2,42.7178,-84.4836,Natural Gas,Operating,GEN2 (12.5)
MI,10328,UNIT3,42.7178,-84.4836,Natural Gas,Operating,GEN3 (15)
MI,10328,UNIT4,42.7178,-84.4836,Natural Gas,Operating,GEN4 (21)
PA,10343,SG-101,40.8092,-76.4539,Coal Refuse,Operating,TG1 (46)
CA,10349,2,39.1365,-121.6397,Pipeline Natural Gas,Operating,GEN1 (49.5)
CA,10350,CTGA,39.0536,-121.6942,Pipeline Natural Gas,Operating,CTGA (34.9)
CA,10350,CTGB,39.0536,-121.6942,Pipeline Natural Gas,Operating,CTGB (34.9)
CA,10405,1,36.547,-119.578,Pipeline Natural Gas,Operating,"GEN2 (13.1), GEN1 (23.1)"
NY,10464,E0001,44.0361,-75.7712,Wood,Retired,GEN1 (55.5)
NY,10464,E0002,44.0361,-75.7712,Wood,Retired,GEN1 (55.5)
NY,10464,E0003,44.0361,-75.7712,Wood,Retired,GEN1 (55.5)
NC,10525,ES5A,35.1285,-77.17,Wood,Operating,1UNI (50)
CT,10567,GT1,41.9227,-72.6255,Pipeline Natural Gas,Operating,"STG (16), GTG (40)"
PA,10603,031,40.455,-78.7472,Coal,Operating,GEN1 (57.6)
NY,10617,1,43.8861,-75.4342,Pipeline Natural Gas,Operating,"GEN2 (42.3), GEN1 (65.5)"
NY,10619,00001,42.5083,-78.0661,Pipeline Natural Gas,Operating,"1 (42), 2 (25)"
NY,10620,1,43.9842,-75.6225,Pipeline Natural Gas,Operating,"GEN1 (41), GEN2 (22)"
NY,10621,1,43.0667,-76.2246,Pipeline Natural Gas,Operating,"GEN1 (65.5), GEN2 (37.2)"
VA,10633,1,37.2914,-77.2821,Pipeline Natural Gas,Operating,"GT1 (89), ST1 (96)"
VA,10633,2,37.2914,-77.2821,Pipeline Natural Gas,Operating,"ST1 (96), GT2 (89)"
VA,10633,3,37.2914,-77.2821,Pipeline Natural Gas,Operating,"ST1 (96), GT3 (89)"
CA,10649,GT1,35.4192,-118.9266,Pipeline Natural Gas,Operating,GEN1 (46)
CA,10650,GT1,35.4837,-119.0299,Pipeline Natural Gas,Operating,GEN1 (46)
OK,10671,1A,35.1931,-94.6458,Coal,Operating,GEN1 (175)
OK,10671,1B,35.1931,-94.6458,Coal,Operating,GEN1 (175)
OK,10671,2A,35.1931,-94.6458,Coal,Operating,GEN2 (175)
OK,10671,2B,35.1931,-94.6458,Coal,Operating,GEN2 (175)
MD,10678,001,39.5944,-78.7456,Coal,Operating (Retired 06/01/2024),GEN1 (229)
CO,10682,GT2,40.2415,-103.631,Pipeline Natural Gas,Operating,"GT2 (25), ST1 (38)"
CO,10682,GT4,40.2415,-103.631,Pipeline Natural Gas,Operating,"ST4 (90), GT4 (23.8)"
CO,10682,GT5,40.2415,-103.631,Pipeline Natural Gas,Operating,"ST4 (90), GT5 (23.8)"
MI,10698,BLR08,42.3049,-85.5783,Natural Gas,Operating (Retired 10/07/2024),GEN1 (10)
NY,10725,CTG101,42.5744,-73.8592,Pipeline Natural Gas,Operating,"GEN1 (95.2), GEN2 (12)"
NY,10725,CTG201,42.5744,-73.8592,Pipeline Natural Gas,Operating,"GEN3 (95.2), GEN5 (148.4)"
NY,10725,CTG301,42.5744,-73.8592,Pipeline Natural Gas,Operating,"GEN5 (148.4), GEN4 (95.5)"
MA,10726,1,42.156,-72.5292,Pipeline Natural Gas,Operating,"GEN1 (87), GEN3 (72)"
MA,10726,2,42.156,-72.5292,Pipeline Natural Gas,Operating,"GEN3 (72), GEN2 (87)"
WV,10743,CFB1,39.6397,-79.9606,Pipeline Natural Gas,Operating,GEN1 (69)
WV,10743,CFB2,39.6397,-79.9606,Pipeline Natural Gas,Operating,GEN1 (69)
MI,10745,003,43.5861,-84.2242,Pipeline Natural Gas,Operating,"BP15 (13.5), ST1 (410), GT3 (87.2)"
MI,10745,004,43.5861,-84.2242,Pipeline Natural Gas,Operating,"GT4 (87.2), BP15 (13.5), ST1 (410)"
MI,10745,005,43.5861,-84.2242,Pipeline Natural Gas,Operating,"GT5 (87.2), ST1 (410), BP15 (13.5)"
MI,10745,006,43.5861,-84.2242,Pipeline Natural Gas,Operating,"BP15 (13.5), ST1 (410), GT6 (87.2)"
MI,10745,007,43.5861,-84.2242,Pipeline Natural Gas,Operating,"ST1 (410), GT7 (87.2), BP15 (13.5)"
MI,10745,008,43.5861,-84.2242,Pipeline Natural Gas,Operating,"GT8 (87.2), ST1 (410), BP15 (13.5)"
MI,10745,009,43.5861,-84.2242,Pipeline Natural Gas,Operating,"GT9 (87.2), ST1 (410), BP15 (13.5)"
MI,10745,010,43.5861,-84.2242,Pipeline Natural Gas,Operating,"BP15 (13.5), GT10 (87.2), ST1 (410)"
MI,10745,011,43.5861,-84.2242,Pipeline Natural Gas,Operating,"GT11 (87.2), BP15 (13.5), ST1 (410)"
MI,10745,012,43.5861,-84.2242,Pipeline Natural Gas,Operating,"BP15 (13.5), GT12 (87.2), ST1 (410)"
MI,10745,013,43.5861,-84.2242,Pipeline Natural Gas,Operating,"GT13 (87.2), BP15 (13.5), ST1 (410)"
MI,10745,014,43.5861,-84.2242,Pipeline Natural Gas,Operating,"GT14 (87.2), BP15 (13.5), ST1 (410)"
MI,10745,016,43.5861,-84.2242,Pipeline Natural Gas,Operating,"ST1 (410), BP15 (13.5)"
MI,10745,017,43.5861,-84.2242,Pipeline Natural Gas,Operating,"BP15 (13.5), ST1 (410)"
MI,10745,018,43.5861,-84.2242,Pipeline Natural Gas,Operating,"ST1 (410), BP15 (13.5)"
MI,10745,019,43.5861,-84.2242,Pipeline Natural Gas,Operating,"ST1 (410), BP15 (13.5)"
MI,10745,020,43.5861,-84.2242,Pipeline Natural Gas,Operating,"BP15 (13.5), ST1 (410)"
MI,10745,021,43.5861,-84.2242,Pipeline Natural Gas,Operating,"BP15 (13.5), ST1 (410)"
NJ,10751,002001,39.9175,-75.1192,Pipeline Natural Gas,Operating,"GEN1 (95.2), GEN2 (61.8)"
NV,10761,1,36.2317,-115.1235,Pipeline Natural Gas,Operating,"GEN2 (11.5), GEN1 (49.8)"
NV,10761,2,36.2317,-115.1235,Pipeline Natural Gas,Operating,"GEN7 (27.8), GEN3 (60.5)"
NV,10761,3,36.2317,-115.1235,Pipeline Natural Gas,Operating,"GEN4 (60.5), GEN7 (27.8)"
NV,10761,4,36.2317,-115.1235,Pipeline Natural Gas,Operating,"GEN5 (60.5), GEN8 (27.8)"
NV,10761,5,36.2317,-115.1235,Pipeline Natural Gas,Operating,"GEN6 (60.5), GEN8 (27.8)"
VA,10771,1,37.2969,-77.2833,Wood,Operating,1 (71.1)
VA,10771,2,37.2969,-77.2833,Wood,Operating,1 (71.1)
VA,10773,1,37.1183,-79.2726,Wood,Operating,"1 (71.1), GEN1 (71.1)"
VA,10773,2,37.1183,-79.2726,Wood,Operating,1 (71.1)
VA,10774,1,36.6525,-76.9953,Wood,Operating,1 (71.1)
VA,10774,2,36.6525,-76.9953,Wood,Operating,1 (71.1)
CA,10776,GTG,34.1963,-119.1663,Natural Gas,Operating,GTG (48.5)
MT,10784,CBLR,45.9753,-106.6554,,Operating,GEN1 (46.1)
WV,10788,612,38.2431,-81.556,Natural Gas,Operating,
NY,10803,1,44.7258,-75.4417,Pipeline Natural Gas,Operating,"GEN1 (45), GEN3 (26.9)"
NY,10803,2,44.7258,-75.4417,Pipeline Natural Gas,Operating,"GEN2 (23.6), GEN3 (26.9)"
NJ,10805,002001,40.6781,-74.2744,Pipeline Natural Gas,Operating,"GEN1 (22), GEN2 (6.8)"
MI,10822,1,44.6062,-84.6901,Wood,Operating,GEN1 (38)
MA,10823,S42,42.3497,-70.9601,Diesel Oil,Operating,G101 (26)
MA,10823,S43,42.3497,-70.9601,Diesel Oil,Operating,G201 (26)
MN,10849,PB1,47.286,-91.26,Coal,Operating,GEN1 (46)
MN,10849,PB2,47.286,-91.26,Coal,Operating,GEN2 (82)
IL,10865,FBC1,39.8675,-88.885,Coal,Operating,"GEN7 (75), GEN6 (31), GEN5 (31), GEN4 (31), GEN3 (31), GEN2 (31), GEN8 (105)"
IL,10865,FBC2,39.8675,-88.885,Coal,Operating,"GEN8 (105), GEN3 (31), GEN5 (31), GEN7 (75), GEN6 (31), GEN2 (31), GEN4 (31)"
IL,10865,FBC3,39.8675,-88.885,Coal,Operating,"GEN4 (31), GEN8 (105), GEN6 (31), GEN5 (31), GEN2 (31), GEN7 (75), GEN3 (31)"
IL,10865,FBC4,39.8675,-88.885,Coal,Operating,"GEN7 (75), GEN8 (105), GEN2 (31), GEN3 (31), GEN4 (31), GEN5 (31), GEN6 (31)"
IL,10865,FBC5,39.8675,-88.885,Coal,Operating,"GEN2 (31), GEN4 (31), GEN5 (31), GEN7 (75), GEN8 (105), GEN3 (31), GEN6 (31)"
IL,10865,FBC6,39.8675,-88.885,Coal,Operating,"GEN3 (31), GEN6 (31), GEN8 (105), GEN5 (31), GEN4 (31), GEN7 (75), GEN2 (31)"
IL,10865,FBC7,39.8675,-88.885,Coal,Operating,"GEN8 (105), GEN6 (31), GEN2 (31), GEN3 (31), GEN4 (31), GEN5 (31), GEN7 (75)"
IL,10865,FBC8,39.8675,-88.885,Coal,Operating,"GEN3 (31), GEN2 (31), GEN4 (31), GEN7 (75), GEN5 (31), GEN6 (31), GEN8 (105)"
IL,10865,FBC9,39.8675,-88.885,Coal,Operating,"GEN5 (31), GEN2 (31), GEN7 (75), GEN4 (31), GEN3 (31), GEN6 (31), GEN8 (105)"
IL,10865,GB1,39.8675,-88.885,Pipeline Natural Gas,Operating,
IL,10865,GB2,39.8675,-88.885,Pipeline Natural Gas,Operating,
IL,10866,13,40.6776,-89.6069,Pipeline Natural Gas,Operating,
IL,10866,14,40.6776,-89.6069,Pipeline Natural Gas,Operating,
PA,10870,TURB2,40.9282,-76.0416,Pipeline Natural Gas,Operating,GEN2 (33)
PA,10870,TURB3,40.9282,-76.0416,Pipeline Natural Gas,Operating,GEN3 (33)
PA,10870,TURB4,40.9282,-76.0416,Pipeline Natural Gas,Operating,GEN4 (33)
PA,10870,TURBIN,40.9282,-76.0416,Pipeline Natural Gas,Operating,GEN1 (72.5)
MA,50002,1,42.4564,-73.2181,Pipeline Natural Gas,Operating,"GEN4 (53.4), GEN1 (40)"
MA,50002,2,42.4564,-73.2181,Pipeline Natural Gas,Operating,"GEN4 (53.4), GEN2 (40)"
MA,50002,3,42.4564,-73.2181,Pipeline Natural Gas,Operating,"GEN4 (53.4), GEN3 (40)"
NJ,50006,004001,40.6322,-74.2156,Pipeline Natural Gas,Operating,"GTG6 (172), STG2 (95.2), STG3 (95.2), STG1 (95.2)"
NJ,50006,005001,40.6322,-74.2156,Pipeline Natural Gas,Operating,"GTG1 (88), STG1 (95.2), STG2 (95.2), STG3 (95.2)"
NJ,50006,006001,40.6322,-74.2156,Pipeline Natural Gas,Operating,"GTG2 (88), STG1 (95.2), STG2 (95.2), STG3 (95.2)"
NJ,50006,007001,40.6322,-74.2156,Pipeline Natural Gas,Operating,"STG2 (95.2), STG3 (95.2), GTG3 (88), STG1 (95.2)"
NJ,50006,008001,40.6322,-74.2156,Pipeline Natural Gas,Operating,"STG3 (95.2), STG1 (95.2), GTG4 (88), STG2 (95.2)"
NJ,50006,009001,40.6322,-74.2156,Pipeline Natural Gas,Operating,"GTG5 (88), STG2 (95.2), STG3 (95.2), STG1 (95.2)"
LA,50030,1A,30.2861,-93.2917,Petroleum Coke,Operating,1 (113.6)
LA,50030,2A,30.2861,-93.2917,Petroleum Coke,Operating,2 (113.6)
OH,50044,B132,40.0008,-83.0158,Pipeline Natural Gas,Operating,
