bus,yard,interconnection,plant_mw,escape_kv,floor_kv,osm_kv,osm_dist_km,osm_way_id,reach_km
25727,26435,Eastern,38.8,69.0,115.0,115.0,0.003,145495598,0.6
80053,3187,Eastern,38.5,100.0,115.0,115.0,0.06,16682209,14.7
76088,75581,Eastern,38.4,69.0,115.0,230.0,0.436,338385034,0.4
75931,75457,Western,36.7,66.0,115.0,115.0,0.003,83802821,0.6
76736,76087,Western,34.8,66.0,115.0,220.0,0.517,37692648,11.5
68350,69598,Western,34.0,69.0,115.0,230.0,0.003,896565297,3.8
78535,77604,Western,33.0,66.0,115.0,500.0,0.372,85861354,4.5
36996,38993,Eastern,32.6,69.0,115.0,138.0,0.122,1023350826,0.1
81411,7481,Eastern,31.1,100.0,115.0,230.0,0.103,252847850,0.4
55287,58495,Western,30.4,46.0,115.0,138.0,0.298,1323491950,2.1
87756,58308,Western,30.0,69.0,115.0,345.0,0.602,102996331,0.0
74922,74612,Western,30.0,66.0,115.0,220.0,0.483,91735956,1.4
55224,58444,Western,29.4,69.0,115.0,230.0,0.133,15733307,7.1
2333,2137,Eastern,28.4,69.0,115.0,161.0,0.314,1163871015,1.8
38320,40523,Eastern,28.2,69.0,115.0,138.0,0.354,856100775,0.3
