market_date,flowgate_nerc_id,constraint_id,constraint_name,branch_name,contingency,hour,shadow_price,constraint_description
07/09/2024,29015.0,3443.0,Duneare_Michigan_City_13839_138kv_flo_Wilton_Cen,DUNEACRE 13839 A (LN/NIPS/NIPS),WILTON CENTER-DUMONT 765 (11215),02:55,-48.0,
07/09/2024,29015.0,3443.0,Duneare_Michigan_City_13839_138kv_flo_Wilton_Cen,DUNEACRE 13839 A (LN/NIPS/NIPS),WILTON CENTER-DUMONT 765 (11215),03:00,-24.1,
07/09/2024,29015.0,3443.0,Duneare_Michigan_City_13839_138kv_flo_Wilton_Cen,DUNEACRE 13839 A (LN/NIPS/NIPS),WILTON CENTER-DUMONT 765 (11215),03:05,-77.10000000000001,
07/09/2024,29015.0,3443.0,Duneare_Michigan_City_13839_138kv_flo_Wilton_Cen,DUNEACRE 13839 A (LN/NIPS/NIPS),WILTON CENTER-DUMONT 765 (11215),03:10,-76.2,
07/09/2024,29015.0,3443.0,Duneare_Michigan_City_13839_138kv_flo_Wilton_Cen,DUNEACRE 13839 A (LN/NIPS/NIPS),WILTON CENTER-DUMONT 765 (11215),03:15,-124.7,
07/09/2024,29015.0,3443.0,Duneare_Michigan_City_13839_138kv_flo_Wilton_Cen,DUNEACRE 13839 A (LN/NIPS/NIPS),WILTON CENTER-DUMONT 765 (11215),03:20,-123.5,
07/09/2024,29015.0,3443.0,Duneare_Michigan_City_13839_138kv_flo_Wilton_Cen,DUNEACRE 13839 A (LN/NIPS/NIPS),WILTON CENTER-DUMONT 765 (11215),03:25,-37.2,
07/09/2024,29015.0,3443.0,Duneare_Michigan_City_13839_138kv_flo_Wilton_Cen,DUNEACRE 13839 A (LN/NIPS/NIPS),WILTON CENTER-DUMONT 765 (11215),03:30,-67.4,
07/09/2024,29015.0,3443.0,Duneare_Michigan_City_13839_138kv_flo_Wilton_Cen,DUNEACRE 13839 A (LN/NIPS/NIPS),WILTON CENTER-DUMONT 765 (11215),03:35,-67.4,
07/09/2024,29015.0,3443.0,Duneare_Michigan_City_13839_138kv_flo_Wilton_Cen,DUNEACRE 13839 A (LN/NIPS/NIPS),WILTON CENTER-DUMONT 765 (11215),03:50,-62.54,
07/09/2024,29015.0,3443.0,Duneare_Michigan_City_13839_138kv_flo_Wilton_Cen,DUNEACRE 13839 A (LN/NIPS/NIPS),WILTON CENTER-DUMONT 765 (11215),03:55,-24.5,
07/09/2024,29015.0,3443.0,Duneare_Michigan_City_13839_138kv_flo_Wilton_Cen,DUNEACRE 13839 A (LN/NIPS/NIPS),WILTON CENTER-DUMONT 765 (11215),04:00,-24.5,
07/09/2024,29015.0,3443.0,Duneare_Michigan_City_13839_138kv_flo_Wilton_Cen,DUNEACRE 13839 A (LN/NIPS/NIPS),WILTON CENTER-DUMONT 765 (11215),04:05,-148.70000000000002,
07/09/2024,29015.0,3443.0,Duneare_Michigan_City_13839_138kv_flo_Wilton_Cen,DUNEACRE 13839 A (LN/NIPS/NIPS),WILTON CENTER-DUMONT 765 (11215),04:10,-94.9,
07/09/2024,29015.0,3443.0,Duneare_Michigan_City_13839_138kv_flo_Wilton_Cen,DUNEACRE 13839 A (LN/NIPS/NIPS),WILTON CENTER-DUMONT 765 (11215),04:15,-208.4,
07/09/2024,29015.0,3443.0,Duneare_Michigan_City_13839_138kv_flo_Wilton_Cen,DUNEACRE 13839 A (LN/NIPS/NIPS),WILTON CENTER-DUMONT 765 (11215),04:20,-204.84,
